asset,mom_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
doge,5,-0.06319797092536994,-8.279102866929353,-5.0,0.0,-28.005912774369897,0.05792289389868927,0.0,0.0,0.19593711302290265,3
shib,5,-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1
pepe,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,6,-0.026849044054821025,-1.924116421257753,-2.9337796829015925,0.6465587873822178,-9.852729238436398,0.0645694769270006,0.2,0.6465587873822178,0.33063777544881745,5
shib,6,-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1
pepe,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,7,-0.06924585814687134,-4.21862712625744,-5.0,0.4026806847831876,-16.390697024414933,0.10532294250237582,0.2,0.4026806847831876,0.4092128525726853,5
shib,7,-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1
pepe,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,8,-0.019934443271299895,-1.3898008823927432,-2.031128187442492,0.7174219547816,-7.91385608633846,0.05792289389868931,0.25,0.7174219547816,0.3298267055560424,4
shib,8,-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1
pepe,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,9,-0.019934443271299895,-1.3898008823927432,-2.031128187442492,0.7174219547816,-7.91385608633846,0.05792289389868931,0.25,0.7174219547816,0.3298267055560424,4
shib,9,-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1
pepe,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,10,-0.021369288362714234,-1.4985433460414255,-2.3262566684140316,0.7015557159552409,-7.667406280647021,0.06456947692700049,0.25,0.7015557159552409,0.33037443610556094,4
shib,10,-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1
pepe,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,11,-0.11163510666353693,-10.12110737263177,-5.0,0.0,-26.217500587467786,0.11163510666353693,0.0,0.0,0.2891771983812341,4
shib,11,-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1
pepe,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,12,-0.11163510666353693,-10.12110737263177,-5.0,0.0,-26.217500587467786,0.11163510666353693,0.0,0.0,0.2891771983812341,4
shib,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,13,-0.055632084604915755,-5.6133816744245575,-2.807250885197406,0.0,-28.00446845495459,0.050314404518168133,0.0,0.0,0.2510123550975727,2
shib,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,14,0.045056082578515566,4.828812085113953,0.0,9.060001135178462,0.0,0.0,0.6666666666666666,9.060001135178462,0.23552536983409575,3
shib,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,15,0.015430327129364318,1.5074722175614503,1.7085794927201878,1.565946393013744,14.30900891882662,0.0293943254022251,0.3333333333333333,1.565946393013744,0.2790125479219224,3
shib,15,-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1
pepe,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,16,-0.15669617186324658,-7.765085400991799,-5.0,0.0,-26.313371316660806,0.15669617186324658,0.0,0.0,0.5309928147873643,3
shib,16,-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1
pepe,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,17,-0.039883819989696256,-6.096941298222285,-3.463068750475682,0.0,-25.347381423537435,0.039883819989696256,0.0,0.0,0.16581271632077313,2
shib,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,18,-0.057014667288891374,-5.757068234938552,-2.9772777694514287,0.0,-25.35689831080084,0.057014667288891374,0.0,0.0,0.2511200252751551,2
shib,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,20,0.004548525585696295,5.0199601592044525,5.0,10.0,0.0,0.0,1.0,10.0,0.0228334172233175,1
shib,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,21,-0.003780409549009156,-5.019960159204454,0.0,0.0,-25.200000000000003,0.003780409549009156,0.0,0.0,0.018977505321502035,1
shib,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,22,-0.10484627778857769,-5.019960159204453,0.0,0.0,-25.200000000000003,0.10484627778857769,0.0,0.0,0.5263241373395429,1
shib,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
